epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.592,1.82609,2.29016,1.35407,0.01343,0.71941,0.04019,0.01159,2.05111,3.7222,2.67463,0.000462724,0.000462724,0.000462724
2,491.925,1.74238,1.35958,1.29143,0.01253,0.71817,0.04646,0.01088,2.53034,3.77806,3.25301,0.000908068,0.000908068,0.000908068
3,725.774,1.74139,1.31027,1.30324,0.01079,0.51422,0.02617,0.00447,3.20884,3.91697,4.63653,0.00132197,0.00132197,0.00132197
4,961.143,1.73096,1.27328,1.30719,0.01299,0.58096,0.02194,0.00392,3.10589,4.60299,3.83259,0.00128753,0.00128753,0.00128753
5,1196.53,1.70663,1.18844,1.29533,0.01546,0.62299,0.03497,0.00703,2.87455,4.73074,3.62966,0.00124037,0.00124037,0.00124037
6,1428.71,1.6873,1.1562,1.27797,0.01494,0.55995,0.02279,0.00493,2.71399,4.59548,3.63036,0.00119322,0.00119322,0.00119322
7,1660.34,1.66364,1.11,1.27515,0.01908,0.51916,0.01788,0.00388,2.76125,4.31059,3.59843,0.00114606,0.00114606,0.00114606
8,1985.52,1.67891,1.07844,1.27906,0.00931,0.15575,0.00148,0.00022,3.06627,4.59722,3.77513,0.0010989,0.0010989,0.0010989
9,2388.31,1.63443,1.05958,1.26092,0.01178,0.27812,0.00339,0.00058,2.95087,4.35051,3.68671,0.00105174,0.00105174,0.00105174
10,2810.67,1.66358,1.04831,1.27209,0.01997,0.39061,0.01301,0.00246,2.75976,4.22884,3.45322,0.00100459,0.00100459,0.00100459
11,3231.91,1.64322,1.02529,1.2706,0.02019,0.44747,0.02128,0.00399,3.00435,4.22426,3.69086,0.00095743,0.00095743,0.00095743
12,3601.18,1.63766,1.01436,1.26818,0.01531,0.29543,0.006,0.00098,3.22849,4.51791,3.68022,0.000910273,0.000910273,0.000910273
13,3972.03,1.65017,1.01927,1.26839,0.02349,0.13103,0.00321,0.00052,3.15303,4.63434,3.58442,0.000863116,0.000863116,0.000863116
14,4327.5,1.62922,0.99754,1.25927,0.02624,0.15575,0.00944,0.00133,3.25423,4.50884,3.83922,0.000815959,0.000815959,0.000815959
15,4695.62,1.62658,0.98477,1.26384,0.0462,0.31768,0.02021,0.00357,2.96754,4.54698,3.50851,0.000768802,0.000768802,0.000768802
16,5062.47,1.6142,0.98496,1.25422,0.01965,0.12855,0.00271,0.00042,3.16492,4.68145,3.67234,0.000721645,0.000721645,0.000721645
17,5430.11,1.61213,0.94398,1.25301,0.02004,0.03956,0.00104,0.00018,2.92677,4.54802,3.4945,0.000674488,0.000674488,0.000674488
18,5796.28,1.59157,0.94085,1.24369,0.05103,0.04574,0.00265,0.0005,2.70019,4.70212,3.36864,0.000627331,0.000627331,0.000627331
19,6162.24,1.594,0.93482,1.2398,0.03497,0.03337,0.0013,0.00016,3.05092,4.90832,3.57159,0.000580174,0.000580174,0.000580174
20,6528.91,1.56412,0.91296,1.23608,0.04402,0.03956,0.0016,0.00034,2.93488,4.83399,3.46689,0.000533017,0.000533017,0.000533017
21,6893.05,1.5846,0.91095,1.26308,0.02495,0.10878,0.00351,0.00065,3.3349,5.10338,3.72192,0.00048586,0.00048586,0.00048586
22,7223.88,1.58065,0.8928,1.25734,0.08706,0.23609,0.02655,0.00471,2.86414,4.79023,3.46549,0.000438703,0.000438703,0.000438703
23,7517.89,1.56892,0.87978,1.26176,0.05585,0.18418,0.02056,0.00433,2.8546,4.49526,3.45758,0.000391546,0.000391546,0.000391546
24,7813.51,1.56043,0.86561,1.25675,0.02601,0.12855,0.00879,0.00412,3.16172,4.48958,3.58725,0.000344389,0.000344389,0.000344389
25,8110.74,1.55285,0.84343,1.25446,0.0392,0.0581,0.00294,0.00057,2.98014,4.57981,3.49537,0.000297232,0.000297232,0.000297232
26,8408.52,1.54311,0.83393,1.24459,0.01686,0.02349,0.00042,8e-05,2.79975,4.66847,3.27978,0.000250075,0.000250075,0.000250075
27,8703.8,1.53383,0.83204,1.24818,0.05875,0.0618,0.009,0.00356,2.87148,4.57764,3.35007,0.000202918,0.000202918,0.000202918
28,8997.2,1.53514,0.82311,1.24093,0.08696,0.03956,0.00538,0.00146,2.89015,4.59129,3.43394,0.000155761,0.000155761,0.000155761
29,9294.56,1.53464,0.81685,1.249,0.06633,0.03214,0.00337,0.00051,2.77435,4.53476,3.34781,0.000108604,0.000108604,0.000108604
30,9582.68,1.51155,0.80569,1.22774,0.06481,0.03461,0.00308,0.00044,2.76643,4.55952,3.3323,6.1447e-05,6.1447e-05,6.1447e-05
